year,round,round_name,team_a,team_b,seed_a,seed_b,seed_diff,srs_diff,sos_diff,ortg_diff,drtg_diff,pace_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,win_pct_diff,conf_win_pct_diff,prospect_diff,conf_champion_a,conf_champion_b,conf_tourn_champion_a,conf_tourn_champion_b,outcome
2014,1,First Round,UConn,Saint Joseph's,7,10,3,8.18,3.5500000000000007,0.8000000000000114,9.189999999999998,-0.5,-0.02400000000000002,0.7000000000000011,1.3999999999999986,-0.05299999999999999,0.09411764705882353,-0.02083333333333337,4,0,0,0,1,1
2014,1,First Round,Saint Joseph's,UConn,10,7,-3,-8.18,-3.5500000000000007,-0.8000000000000114,-9.189999999999998,0.5,0.02400000000000002,-0.7000000000000011,-1.3999999999999986,0.05299999999999999,-0.09411764705882353,0.02083333333333337,-4,0,0,1,0,0
2014,1,First Round,Villanova,Milwaukee,2,15,13,20.5,7.94,10.700000000000003,14.579999999999998,-0.30000000000001137,0.04300000000000004,2.200000000000001,4.300000000000001,0.009000000000000008,0.2529411764705882,0.45138888888888884,4,1,0,0,1,1
2014,1,First Round,Milwaukee,Villanova,15,2,-13,-20.5,-7.94,-10.700000000000003,-14.579999999999998,0.30000000000001137,-0.04300000000000004,-2.200000000000001,-4.300000000000001,-0.009000000000000008,-0.2529411764705882,-0.45138888888888884,-4,0,1,1,0,0
2014,2,Second Round,Virginia,Memphis,1,8,7,5.359999999999999,0.7200000000000006,0.7000000000000028,9.099999999999994,-9.999999999999993,-0.014000000000000012,2.0,-2.3999999999999986,0.020999999999999963,0.10492845786963434,0.2222222222222222,6,1,0,1,0,1
2014,2,Second Round,Memphis,Virginia,8,1,-7,-5.359999999999999,-0.7200000000000006,-0.7000000000000028,-9.099999999999994,9.999999999999993,0.014000000000000012,-2.0,2.3999999999999986,-0.020999999999999963,-0.10492845786963434,-0.2222222222222222,-6,0,1,0,1,0
2014,2,Second Round,Michigan State,Harvard,4,12,8,8.560000000000002,9.850000000000001,1.7000000000000028,2.1499999999999915,1.4000000000000057,0.026000000000000023,0.3000000000000007,-0.5999999999999943,-0.14299999999999996,-0.08059210526315785,-0.261904761904762,9,0,1,1,0,1
2014,2,Second Round,Harvard,Michigan State,12,4,-8,-8.560000000000002,-9.850000000000001,-1.7000000000000028,-2.1499999999999915,-1.4000000000000057,-0.026000000000000023,-0.3000000000000007,0.5999999999999943,0.14299999999999996,0.08059210526315785,0.261904761904762,-9,1,0,0,1,0
2014,2,Second Round,Iowa State,UNC,3,6,3,3.2799999999999994,1.4600000000000009,5.400000000000006,-2.769999999999996,1.7000000000000028,0.04300000000000004,1.5,-9.3,-0.065,0.07189542483660127,-0.11111111111111105,-1,0,0,1,0,1
2014,2,Second Round,UNC,Iowa State,6,3,-3,-3.2799999999999994,-1.4600000000000009,-5.400000000000006,2.769999999999996,-1.7000000000000028,-0.04300000000000004,-1.5,9.3,0.065,-0.07189542483660127,0.11111111111111105,1,0,0,0,1,0
